date_checked,departure_date,from,to,price,currency,airline,departure_time,arrival_time,offer_id
2025-07-15,2025-09-05,IST,ISB,316.92,EUR,QR,2025-09-05T20:05:00,2025-09-06T00:20:00,12
2025-07-15,2025-09-05,IST,ISB,318.0,EUR,J2,2025-09-05T16:45:00,2025-09-05T20:35:00,13
2025-07-15,2025-09-05,IST,ISB,323.51,EUR,PK,2025-09-05T21:10:00,2025-09-06T03:55:00,14
2025-07-15,2025-09-05,IST,ISB,332.0,EUR,J2,2025-09-05T22:50:00,2025-09-06T02:40:00,15
2025-07-15,2025-09-05,IST,ISB,353.57,EUR,PK,2025-09-05T21:10:00,2025-09-06T04:20:00,16
2025-07-15,2025-09-05,IST,ISB,353.57,EUR,PK,2025-09-05T21:10:00,2025-09-06T04:20:00,17
2025-07-15,2025-09-05,IST,ISB,362.74,EUR,SV,2025-09-05T11:55:00,2025-09-05T15:50:00,18
2025-07-15,2025-09-05,IST,ISB,362.74,EUR,SV,2025-09-05T15:25:00,2025-09-05T19:20:00,19
2025-07-15,2025-09-05,IST,ISB,362.74,EUR,SV,2025-09-05T11:55:00,2025-09-05T15:50:00,20
2025-07-15,2025-09-05,IST,ISB,372.77,EUR,TK,2025-09-05T01:10:00,2025-09-05T07:55:00,21
2025-07-15,2025-09-05,IST,ISB,372.77,EUR,TK,2025-09-05T21:10:00,2025-09-06T03:55:00,22
2025-07-15,2025-09-05,IST,ISB,400.63,EUR,PK,2025-09-05T20:30:00,2025-09-06T03:50:00,23
2025-07-15,2025-09-05,IST,ISB,400.63,EUR,PK,2025-09-05T20:30:00,2025-09-06T03:50:00,24
2025-07-15,2025-09-05,IST,ISB,400.63,EUR,PK,2025-09-05T20:30:00,2025-09-06T03:50:00,25
2025-07-15,2025-09-05,IST,ISB,400.9,EUR,GF,2025-09-05T16:10:00,2025-09-05T20:20:00,26
2025-07-15,2025-09-05,IST,ISB,506.14,EUR,EK,2025-09-05T19:25:00,2025-09-06T00:55:00,27
2025-07-15,2025-09-05,IST,ISB,516.63,EUR,EK,2025-09-05T14:05:00,2025-09-05T19:35:00,28
2025-07-15,2025-09-05,IST,ISB,516.63,EUR,EK,2025-09-05T22:25:00,2025-09-06T03:55:00,29
2025-07-15,2025-09-05,IST,ISB,521.63,EUR,EK,2025-09-05T19:25:00,2025-09-06T00:55:00,30
2025-07-15,2025-09-05,IST,ISB,521.63,EUR,EK,2025-09-05T23:20:00,2025-09-06T04:50:00,31
2025-07-15,2025-09-05,IST,ISB,521.63,EUR,EK,2025-09-05T18:35:00,2025-09-06T00:05:00,32
2025-07-15,2025-09-05,IST,ISB,521.63,EUR,EK,2025-09-05T02:10:00,2025-09-05T07:35:00,33
2025-07-15,2025-09-05,IST,ISB,549.14,EUR,FZ,2025-09-05T14:05:00,2025-09-05T19:35:00,34
2025-07-15,2025-09-05,IST,ISB,1833.73,EUR,QF,2025-09-05T19:25:00,2025-09-06T00:55:00,35
2025-07-15,2025-09-06,IST,ISB,232.61,EUR,EY,2025-09-06T07:25:00,2025-09-06T12:55:00,1
2025-07-15,2025-09-06,IST,ISB,262.61,EUR,EY,2025-09-06T14:35:00,2025-09-06T19:55:00,2
2025-07-15,2025-09-06,IST,ISB,262.61,EUR,EY,2025-09-06T07:25:00,2025-09-06T12:55:00,3
2025-07-15,2025-09-06,IST,ISB,277.7,EUR,QR,2025-09-06T13:45:00,2025-09-06T18:10:00,4
2025-07-15,2025-09-06,IST,ISB,297.7,EUR,QR,2025-09-06T20:05:00,2025-09-07T00:20:00,5
2025-07-15,2025-09-06,IST,ISB,297.7,EUR,QR,2025-09-06T13:35:00,2025-09-06T17:50:00,6
2025-07-15,2025-09-06,IST,ISB,299.92,EUR,QR,2025-09-06T20:05:00,2025-09-07T00:20:00,7
2025-07-15,2025-09-06,IST,ISB,302.7,EUR,QR,2025-09-06T20:05:00,2025-09-07T00:30:00,8
2025-07-15,2025-09-06,IST,ISB,302.7,EUR,QR,2025-09-06T13:45:00,2025-09-06T18:10:00,9
2025-07-15,2025-09-06,IST,ISB,304.92,EUR,QR,2025-09-06T20:05:00,2025-09-07T00:30:00,10
2025-07-15,2025-09-06,IST,ISB,314.7,EUR,QR,2025-09-06T13:35:00,2025-09-06T17:50:00,11
2025-07-15,2025-09-06,IST,ISB,318.0,EUR,J2,2025-09-06T10:40:00,2025-09-06T14:30:00,12
2025-07-15,2025-09-06,IST,ISB,332.0,EUR,J2,2025-09-06T12:00:00,2025-09-06T15:50:00,13
2025-07-15,2025-09-06,IST,ISB,353.57,EUR,PK,2025-09-06T21:10:00,2025-09-07T04:20:00,14
2025-07-15,2025-09-06,IST,ISB,353.57,EUR,PK,2025-09-06T21:10:00,2025-09-07T04:20:00,15
2025-07-15,2025-09-06,IST,ISB,362.74,EUR,SV,2025-09-06T18:25:00,2025-09-06T22:20:00,16
2025-07-15,2025-09-06,IST,ISB,362.74,EUR,SV,2025-09-06T15:25:00,2025-09-06T19:20:00,17
2025-07-15,2025-09-06,IST,ISB,372.77,EUR,TK,2025-09-06T21:10:00,2025-09-07T03:55:00,18
2025-07-15,2025-09-06,IST,ISB,379.51,EUR,PK,2025-09-06T21:10:00,2025-09-07T03:55:00,19
2025-07-15,2025-09-06,IST,ISB,400.63,EUR,PK,2025-09-06T00:40:00,2025-09-06T08:00:00,20
2025-07-15,2025-09-06,IST,ISB,400.63,EUR,PK,2025-09-06T20:30:00,2025-09-07T03:50:00,21
2025-07-15,2025-09-06,IST,ISB,400.63,EUR,PK,2025-09-06T00:40:00,2025-09-06T08:00:00,22
2025-07-15,2025-09-06,IST,ISB,400.63,EUR,PK,2025-09-06T20:30:00,2025-09-07T03:50:00,23
2025-07-15,2025-09-06,IST,ISB,400.63,EUR,PK,2025-09-06T20:30:00,2025-09-07T03:50:00,24
